,precision,recall,f1-score,support
0,0.40888485947416137,0.451,0.42891107941036616,1000.0
1,0.45434543454345433,0.413,0.4326872708224201,1000.0
2,0.26298960831334933,0.329,0.2923145268769436,1000.0
3,0.2549019607843137,0.156,0.1935483870967742,1000.0
4,0.28341793570219964,0.335,0.307057745187901,1000.0
5,0.3982002249718785,0.354,0.37480148226574905,1000.0
6,0.3633474576271186,0.343,0.35288065843621397,1000.0
7,0.39057507987220447,0.489,0.4342806394316163,1000.0
8,0.4521484375,0.463,0.4575098814229249,1000.0
9,0.47721822541966424,0.398,0.4340239912758997,1000.0
accuracy,0.3731,0.3731,0.3731,0.3731
macro avg,0.3746029224208344,0.37310000000000004,0.37080156622268096,10000.0
weighted avg,0.3746029224208344,0.3731,0.3708015662226809,10000.0
